"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2020-21",18,285,0.931372549019608,12,12,1,18,5,2,14,0.0726643598615917,0.0726643598615917,0.0670237247727685,0.067697554676247,0.00183778699674028,0.067567632019532,1,0,1,0,1,0,0,NA,NA,NA
"BOS","2020-21",21,358,0.852380952380952,11,11,1,21,5,2,13,0.155,0.155,0.13182264957265,0.131500368405541,0.00699584891101511,0.136487238264338,2,0.0201460628569645,1,0,2,0.0216666666666667,0.0216666666666667,NA,NA,NA
"BKN","2020-21",27,395,0.562678062678063,3,3,1,27,5,7,13,0.374260355029586,0.374260355029586,0.235435883664013,0.232478120747034,0.0720906625458572,0.346036055577147,3,0.0534016984457619,3,0.00445441435667371,3,0.0946150519031142,0.0946150519031142,NA,NA,NA
"CHA","2020-21",17,218,0.801470588235294,7,7,1,17,5,3,11,0.2109375,0.2109375,0.16994430709927,0.170422279657477,0.0225085302429052,0.180841738826003,2,0.0417368066661055,3,0.0240089218079285,2,0.060546875,0.060546875,NA,NA,NA
"CHI","2020-21",22,355,0.768398268398268,10,10,1,22,5,3,13,0.242630385487528,0.242630385487528,0.200301766344292,0.200591543401245,0.0176784399148345,0.215179175811142,2,0.0351319182701845,4,0.0322317000595119,3,0.04848753090565,0.04848753090565,NA,NA,NA
"CLE","2020-21",25,410,0.683333333333333,8,8,1,25,5,3,12,0.329861111111111,0.329861111111111,0.242019417061004,0.24112476474575,0.0338245105002351,0.276072601549894,2,0.0461600237953598,6,0.00359904818560386,3,0.071413422565746,0.071413422565746,NA,NA,NA
"DAL","2020-21",19,287,0.839181286549708,9,9,1,19,5,3,12,0.169753086419753,0.169753086419753,0.153911629165252,0.152637491780004,0.0105766414453778,0.152773401593019,2,0.0153698600201532,4,0.00626449270963603,2,0.0474295910493827,0.0474295910493827,NA,NA,NA
"DEN","2020-21",22,335,0.725108225108225,1,1,1,22,5,4,13,0.287981859410431,0.238095238095238,0.218724125691841,0.177639321800812,0.0453682938376816,0.224236316719273,3,0.00216974827355756,1,0,3,0.0455641432157485,0.0455641432157485,NA,NA,NA
"DET","2020-21",21,359,0.854761904761905,12,12,1,21,5,2,14,0.1525,0.1525,0.129642503631634,0.130738353434006,0.00659981858956317,0.138726657224077,2,0.0194132571907418,1,0,2,0.0311318525519849,0.0311318525519849,NA,NA,NA
"GSW","2020-21",18,245,0.800653594771242,4,4,1,18,5,5,12,0.211072664359862,0.211072664359862,0.165292663992354,0.168807988350322,0.0274256560913135,0.170696670709249,2,0.0335193669304456,1,0,2,0.034272,0.034272,NA,NA,NA
"HOU","2020-21",30,493,0.566666666666667,3,3,1,30,5,8,12,0.412604042806183,0.412604042806183,0.275291833997952,0.274998216725706,0.0695546267162947,0.372925964517188,2,0.144719789013738,12,0.0374163234574099,2,0.169314588629177,0.169314588629177,NA,NA,NA
"IND","2020-21",20,268,0.705263157894737,4,4,1,20,5,4,12,0.310249307479224,0.254847645429363,0.232255822033493,0.182492508446085,0.0445721532209683,0.245456589758381,3,0.0463633325907775,2,0.011026954778347,2,0.0751255111019098,0.0751255111019098,NA,NA,NA
"LAC","2020-21",20,282,0.742105263157895,4,4,1,20,5,4,12,0.271468144044321,0.271468144044321,0.208413228907496,0.209577700331574,0.0358328959436993,0.227284128769838,3,0.0416478044363965,5,0.0230244957497107,3,0.0440428061831153,0.0440428061831153,NA,NA,NA
"LAL","2020-21",19,265,0.774853801169591,7,7,1,19,5,3,11,0.237654320987654,0.237654320987654,0.187241215574549,0.18719139949025,0.0227904105899749,0.203043658116252,2,0.0426842292630829,1,0,2,0.0525099768956102,0.0525099768956102,NA,NA,NA
"MEM","2020-21",18,273,0.892156862745098,9,9,1,18,5,0,0,0.117647058823529,0.117647058823529,0.102408616697453,0.101914064809712,0.00587324656312546,0.161593187613012,1,0.00364958606716847,1,0,3,0.0146731535634801,0.0146731535634801,NA,NA,NA
"MIA","2020-21",21,302,0.719047619047619,1,1,1,21,5,5,12,0.295,0.2425,0.221624911023633,0.17073145271159,0.0839518655686419,0.226045500050795,4,0.010695802815666,1,0,3,0.0335275754422477,0.0335275754422477,NA,NA,NA
"MIL","2020-21",22,306,0.662337662337662,4,4,1,22,5,6,12,0.303854875283447,0.303854875283447,0.211982531525589,0.211812482656001,0.044120373904119,0.280589333802141,3,0.0682056046819599,3,0.00438933743432013,2,0.087793204382738,0.087793204382738,NA,NA,NA
"MIN","2020-21",16,209,0.870833333333333,2,2,1,16,5,3,13,0.137777777777778,0.137777777777778,0.109965764083411,0.109163103838026,0.0584223184223184,0.091692934435275,1,0,1,0,2,0.0106799572801709,0.0106799572801709,NA,NA,NA
"NOP","2020-21",21,305,0.726190476190476,3,3,1,21,5,4,12,0.1825,0.235,0.127077364650175,0.171835306774684,0.039996284965035,0.206621769077097,2,0.0489707067992476,3,0.00349368449341581,2,0.0608676494151578,0.0608676494151578,NA,NA,NA
"NYK","2020-21",19,254,0.742690058479532,5,5,1,19,5,5,12,0.271604938271605,0.271604938271605,0.211150795337331,0.213739026673809,0.0266416610098527,0.222716822547933,2,0.0100982701965404,4,0.017778535557071,2,0.0509190672153635,0.0509190672153635,NA,NA,NA
"OKC","2020-21",22,355,0.768398268398268,9,9,1,22,5,2,12,0.242630385487528,0.242630385487528,0.190295735613791,0.190346683855321,0.0198076992294679,0.213133685593164,2,0.0456258678833565,4,0.0244554651854789,2,0.0769079821277623,0.0769079821277623,NA,NA,NA
"ORL","2020-21",28,458,0.605820105820106,8,8,1,28,5,5,13,0.40877914951989,0.37037037037037,0.28694445526672,0.252943224735407,0.0497779743031405,0.339710199809062,2,0.111878110638622,5,0.0035420758566771,2,0.137029589198506,0.137029589198506,NA,NA,NA
"PHI","2020-21",23,306,0.604743083003953,3,3,1,23,5,6,12,0.413223140495868,0.365702479338843,0.289822608600887,0.243903624811148,0.088679725375416,0.334352134854143,3,0.0708221196975522,10,0.0260476739715493,3,0.113344392577447,0.113344392577447,NA,NA,NA
"PHX","2020-21",17,246,0.904411764705882,9,9,1,17,5,2,13,0.1015625,0.1015625,0.0897573597820309,0.0902261314518179,0.00455643604081104,0.0906607004955113,1,0,1,0,1,0,0,NA,NA,NA
"POR","2020-21",17,219,0.805147058823529,6,6,1,17,5,3,10,0.20703125,0.20703125,0.176489861325745,0.173411285113945,0.0224348112824675,0.178432871543557,2,0.00824628343862718,3,0.00156377056358292,2,0.0496712929145362,0.0496712929145362,NA,NA,NA
"SAC","2020-21",24,354,0.641304347826087,1,1,1,24,5,5,12,0.328922495274102,0.283553875236295,0.228762242096608,0.192910911140777,0.0616350473363108,0.294405178689857,3,0.0479866896485685,11,0.00812346388330293,2,0.0961279990849037,0.0961279990849037,NA,NA,NA
"SAS","2020-21",18,249,0.813725490196078,2,2,1,18,5,2,12,0.197231833910035,0.134948096885813,0.158423768435408,0.101526376100679,0.0594108473518358,0.144144306462888,3,0.00170964984435734,3,0.000629022112546895,2,0.0233154296875,0.0233154296875,NA,NA,NA
"TOR","2020-21",22,365,0.79004329004329,7,7,1,22,5,5,14,0.219954648526077,0.219954648526077,0.174914842810653,0.175757714952697,0.0210381555959787,0.181225961274521,2,0.0345092887971477,7,0.00609495214862077,3,0.0417651228733459,0.0417651228733459,NA,NA,NA
